16:21:45.273 | Info | 'teste!' | 
16:21:46.273 | Info | 'teste!' | 
16:21:47.274 | Info | 'teste!' | 
16:21:48.274 | Info | 'teste!' | 
16:21:49.275 | Info | 'teste!' | 
16:21:50.275 | Info | 'teste!' | 
16:21:51.276 | Info | 'teste!' | 
16:21:52.276 | Info | 'teste!' | 
16:21:53.316 | Info | 'teste!' | 
16:21:54.309 | Info | 'teste!' | 
16:21:55.309 | Info | 'teste!' | 
16:26:37.915 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:26:40.441 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:26:40.629 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:26:40.757 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:26:40.861 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:26:40.950 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:26:41.052 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:27:25.824 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:27:26.037 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:27:26.192 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:27:26.317 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:27:26.453 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:27:26.581 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:27:26.710 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:27:26.838 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:27:26.981 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:27:27.100 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:27:27.229 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:27:27.374 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:27:27.478 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:27:27.574 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:27:27.759 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:27:27.945 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:28:06.150 | Info | 'testeee caralhooo' | 
16:28:06.151 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:28:07.004 | Info | 'testeee caralhooo' | 
16:28:07.005 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:30:52.124 | Info | 'Software loaded' | 
16:32:57.545 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:32:57.985 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:32:58.224 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:32:58.488 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:32:58.856 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:32:59.064 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:32:59.416 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:32:59.961 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:33:00.288 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:33:01.272 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
16:33:01.624 | Info | 'initPythonTest() -> Error: ENOENT: no such file or directory, open \'C:\\Users\\Felipe\\Downloads\\Compressed\\code - Copia.py\'' | 
